id,xPos,yPos,floor,location,name
1,-85.642001,42.252324,1,Floyd,End of A-C Wing First Floor
2,-85.641854,42.252270,1,Floyd,A Exit
3,-85.641961,42.252385,1,Floyd,A Hall F01
4,-85.642010,42.252403,1,Floyd,A116
5,-85.641912,42.252367,1,Floyd,A108
6,-85.641922,42.252443,1,Floyd,A Hall F02
7,-85.641971,42.252461,1,Floyd,A117
8,-85.641873,42.252425,1,Floyd,A109
9,-85.641906,42.252466,1,Floyd,A Hall F03
10,-85.641857,42.252448,1,Floyd,A110
11,-85.641866,42.252526,1,Floyd,A Hall F04
12,-85.641915,42.252544,1,Floyd,A118
13,-85.641817,42.252508,1,Floyd,A110
14,-85.641839,42.252566,1,Floyd,A Hall F05
15,-85.641888,42.252584,1,Floyd,A119
16,-85.641790,42.252548,1,Floyd,A111
17,-85.641784,42.252649,1,Floyd,A Hall F06
18,-85.641735,42.252631,1,Floyd,A112
19,-85.641764,42.252679,1,Floyd,A Hall F07
20,-85.641813,42.252697,1,Floyd,A123
21,-85.641745,42.252707,1,Floyd,A Hall F08
22,-85.641696,42.252689,1,Floyd,A113
23,-85.641715,42.252751,1,Floyd,A Hall F09
24,-85.641764,42.252769,1,Floyd,A125
25,-85.641705,42.252767,1,Floyd,A Hall F10
26,-85.641656,42.252749,1,Floyd,A First Floor Corridors
27,-85.641664,42.252829,1,Floyd,A-Hall F11
28,-85.641713,42.252847,1,Floyd,A126
29,-85.641626,42.252886,1,Floyd,AB Commons Hall First Floor
30,-85.641675,42.252904,1,Floyd,B116 Commons
31,-85.641479,42.252832,1,Floyd,AB Exit
32,-85.641584,42.252947,1,Floyd,B Hall F01
33,-85.641633,42.252965,1,Floyd,B117
34,-85.641535,42.252929,1,Floyd,B109
35,-85.641544,42.253008,1,Floyd,B Hall F02
36,-85.641593,42.253026,1,Floyd,B118
37,-85.641495,42.252990,1,Floyd,B110
38,-85.641488,42.253091,1,Floyd,B Hall F03
39,-85.641537,42.253109,1,Floyd,B119
40,-85.641439,42.253073,1,Floyd,B111
41,-85.641463,42.253128,1,Floyd,B Hall F04
42,-85.641512,42.253146,1,Floyd,B120
43,-85.641449,42.253149,1,Floyd,B Hall F05
44,-85.641498,42.253167,1,Floyd,B121
45,-85.641426,42.253185,1,Floyd,B Hall F06
46,-85.641377,42.253167,1,Floyd,B112
47,-85.641403,42.253219,1,Floyd,B Hall F07
48,-85.641452,42.253237,1,Floyd,B122
49,-85.641386,42.253244,1,Floyd,B Hall F08
50,-85.641435,42.253262,1,Floyd,B123
51,-85.641337,42.253226,1,Floyd,B113
52,-85.641346,42.253304,1,Floyd,B Hall F09
53,-85.641297,42.253286,1,Floyd,B114
54,-85.641330,42.253327,1,Floyd,B Hall F10
55,-85.641379,42.253345,1,Floyd,B124
56,-85.641293,42.253384,1,Floyd,B Hall F11
57,-85.641342,42.253402,1,Floyd,B125
58,-85.641244,42.253366,1,Floyd,B115
59,-85.641255,42.253440,1,Floyd,BC Commons Hall First Floor
60,-85.641304,42.253458,1,Floyd,C126 Commons
61,-85.641108,42.253386,1,Floyd,BC Exit
62,-85.641213,42.253502,1,Floyd,C Hall F01
63,-85.641262,42.253520,1,Floyd,C First Floor Corridors
64,-85.641164,42.253484,1,Floyd,C111
65,-85.641159,42.253584,1,Floyd,C Hall F02
66,-85.641208,42.253602,1,Floyd,C First Floor Corridors
67,-85.641120,42.253642,1,Floyd,C Hall F03
68,-85.641071,42.253624,1,Floyd,C112
69,-85.641080,42.253701,1,Floyd,C Hall F04
70,-85.641129,42.253719,1,Floyd,C135
71,-85.641039,42.253764,1,Floyd,C Hall F05
72,-85.641088,42.253782,1,Floyd,C136
73,-85.640990,42.253746,1,Floyd,C113
74,-85.641001,42.253820,1,Floyd,Start of A-C Wing First Floor
75,-85.640854,42.253766,1,Floyd,C Exit
76,-85.641099,42.254072,1,Floyd,The Parkview Entrance
77,-85.640942,42.254276,1,Floyd,Hallway to A-C Wing
78,-85.640692,42.254348,1,Floyd,Floyd Main Entrance
79,-85.640691,42.254314,1,Floyd,Main Entrance Between Stairs
80,-85.640721,42.254315,1,Floyd,Main Stairs to A-C Wing
81,-85.640658,42.254320,1,Floyd,Main Stairs to E-G Wing
82,-85.640890,42.254259,1,Floyd,In Front of Faculty Lounge
83,-85.640890,42.254245,1,Floyd,Faculty Lounge
84,-85.640851,42.254259,1,Floyd,Cafeteria
85,-85.640717,42.254261,1,Floyd,In Front of D115
86,-85.640718,42.254247,1,Floyd,D115
87,-85.640671,42.254259,1,Floyd,In Front of D109
88,-85.640672,42.254246,1,Floyd,D109
89,-85.640541,42.254264,1,Floyd,Cafeteria
90,-85.640356,42.254229,1,Floyd,Start of E-G Wing
91,-85.640296,42.254100,1,Floyd,E Exit
92,-85.640247,42.254258,1,Floyd,E Hall F01
93,-85.640267,42.254301,1,Floyd,CEAS Advising Office
94,-85.639979,42.254328,1,Floyd,E Hall F02
95,-85.639999,42.254371,1,Floyd,E121
96,-85.639897,42.254350,1,Floyd,E Hall F03
97,-85.639917,42.254393,1,Floyd,E122
98,-85.639877,42.254307,1,Floyd,E101
99,-85.639810,42.254373,1,Floyd,EF Commons Hall First Floor
100,-85.639830,42.254416,1,Floyd,E130 Commons
101,-85.639750,42.254244,1,Floyd,EF Exit
102,-85.639729,42.254394,1,Floyd,F Hall F01
103,-85.639749,42.254437,1,Floyd,F104
104,-85.639709,42.254351,1,Floyd,F111
105,-85.639613,42.254425,1,Floyd,F Hall F02
106,-85.639633,42.254468,1,Floyd,F105
107,-85.639532,42.254446,1,Floyd,F Hall F03
108,-85.639552,42.254489,1,Floyd,F106
109,-85.639512,42.254403,1,Floyd,F112
110,-85.639391,42.254483,1,Floyd,F Hall F04
111,-85.639411,42.254526,1,Floyd,F107
112,-85.639363,42.254491,1,Floyd,F Hall F05
113,-85.639343,42.254448,1,Floyd,F113
114,-85.639271,42.254515,1,Floyd,F Hall F06
115,-85.639251,42.254472,1,Floyd,F114
116,-85.639242,42.254522,1,Floyd,F Hall F07
117,-85.639222,42.254479,1,Floyd,F115
118,-85.639198,42.254534,1,Floyd,F Hall F08
119,-85.639218,42.254577,1,Floyd,F108
120,-85.639112,42.254556,1,Floyd,F Hall F09
121,-85.639132,42.254599,1,Floyd,F110
122,-85.639092,42.254513,1,Floyd,F116
123,-85.639025,42.254579,1,Floyd,FG Commons Hall First Floor
124,-85.639045,42.254622,1,Floyd,F124 Commons
125,-85.638965,42.254450,1,Floyd,FG Exit
126,-85.638943,42.254601,1,Floyd,G Hall F01
127,-85.638963,42.254644,1,Floyd,G104
128,-85.638923,42.254558,1,Floyd,G111
129,-85.638863,42.254622,1,Floyd,G Hall F02
130,-85.638883,42.254665,1,Floyd,G105
131,-85.638696,42.254666,1,Floyd,G Hall F03
132,-85.638716,42.254709,1,Floyd,G106
133,-85.638659,42.254676,1,Floyd,G Hall F04
134,-85.638679,42.254719,1,Floyd,G107
135,-85.638639,42.254633,1,Floyd,G112
136,-85.638608,42.254689,1,Floyd,G Hall F05
137,-85.638588,42.254646,1,Floyd,G114
138,-85.638524,42.254711,1,Floyd,G Hall F06
139,-85.638544,42.254754,1,Floyd,G108
140,-85.638492,42.254720,1,Floyd,G Hall F07
141,-85.638512,42.254763,1,Floyd,G109
142,-85.638441,42.254733,1,Floyd,G Hall F08
143,-85.638421,42.254690,1,Floyd,G114
144,-85.638331,42.254762,1,Floyd,G Hall F09
145,-85.638351,42.254805,1,Floyd,G110
146,-85.638244,42.254785,1,Floyd,End of E-G Wing
147,-85.638184,42.254656,1,Floyd,G Exit
148,-85.642001,42.252324,2,Floyd,End of A-C Wing Second Floor
149,-85.641854,42.252270,2,Floyd,Staircase at the end of A-C Wing
150,-85.641946,42.252406,2,Floyd,A Hall S01
151,-85.641995,42.252424,2,Floyd,A216
152,-85.641897,42.252388,2,Floyd,A211
153,-85.641903,42.252471,2,Floyd,A Hall S02
154,-85.641854,42.252453,2,Floyd,A212
155,-85.641883,42.252500,2,Floyd,A Hall S03
156,-85.641932,42.252518,2,Floyd,A217
157,-85.641864,42.252529,2,Floyd,A Hall S04
158,-85.641815,42.252511,2,Floyd,A209
159,-85.641823,42.252591,2,Floyd,A Hall S05
160,-85.641774,42.252573,2,Floyd,A210
161,-85.641781,42.252653,2,Floyd,A Hall S06
162,-85.641732,42.252635,2,Floyd,A207
163,-85.641742,42.252711,2,Floyd,A Hall S07
164,-85.641693,42.252693,2,Floyd,A208
165,-85.641697,42.252779,2,Floyd,A Hall S08
166,-85.641648,42.252761,2,Floyd,A213
167,-85.641679,42.252805,2,Floyd,A Hall S09
168,-85.641630,42.252787,2,Floyd,A214
169,-85.641628,42.252881,2,Floyd,AB Commons Hall Second Floor
170,-85.641677,42.252899,2,Floyd,B209 Commons
171,-85.641481,42.252827,2,Floyd,AB Staircase Second Floor
172,-85.641574,42.252963,2,Floyd,B Hall S01
173,-85.641525,42.252945,2,Floyd,B210
174,-85.641528,42.253031,2,Floyd,B Hall S02
